Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Caleb Love,POR,G,43,22.3,0.735,0.495,0.321,0.503,11.1,2.7,2.6,0.6,0.1,1.3,106,116.7
Sidy Cissoko,POR,G,46,21.9,0.69,0.544,0.333,0.547,6.5,2.4,1.5,0.7,0.3,1.1,110.8,109.6
Nick Smith Jr.,LAL,G,24,12.6,0.636,0.456,0.397,0.539,5.8,0.8,1.1,0.4,0.1,0.8,103,114.6
Trendon Watford,PHI,G-F,28,15.6,0.711,0.528,0.4,0.572,6,3.4,2.6,0.3,0.3,1,118.7,105
Jamir Watkins,WAS,F,23,15.6,0.773,0.588,0.233,0.502,3.8,3.6,0.7,0.8,0.4,0.6,106.4,106.7
Myron Gardner,MIA,F,22,9,0.722,0.581,0.4,0.616,4.1,2.7,0.8,0.5,0.2,0.1,137.1,94.6
Mohamed Diawara,NYK,F,40,5.4,0.5,0.455,0.409,0.546,2.2,1,0.5,0.2,0.1,0.3,109.7,106.1
Jahmyl Telfort,LAC,G,8,4,0.25,0,0,0.087,0.1,0.4,0.1,0.1,0,0.1,26.7,104.7
Elijah Harkless,UTA,G,7,9.4,0.778,0.5,0.286,0.568,2.4,0.9,0.7,0.6,0,0.4,114.1,111
Mac McClung,IND,G,3,11.3,0.75,0.625,0.2,0.481,6.3,1.3,0.3,1.7,0.3,0.7,89.5,96
Orlando Robinson,ORL,C,4,6.2,0,0.667,0.5,0.7,1.8,1,0.8,0.3,0,0,167.7,107.2
Bilal Coulibaly,WAS,G,30,26.3,0.765,0.486,0.263,0.512,9.7,4.6,2.5,1.4,0.9,1.4,106.3,113.6
Isaiah Joe,OKC,G,42,20.3,0.866,0.611,0.402,0.639,9.9,2.4,1.4,0.5,0.2,0.6,125.7,104.6
Mitchell Robinson,NYK,C-F,35,19.8,0.382,0.673,0,0.629,4.7,9.1,1,0.9,1.1,0.7,148.9,101.7
Vince Williams Jr.,MEM,G,34,21.6,0.804,0.419,0.308,0.478,8,4,4.4,0.8,0.4,1.9,103.2,108.2
Kyle Anderson,UTA,F-G,20,20.1,0.658,0.519,0.6,0.565,7.1,3.3,3.1,1.2,0.5,0.9,121.5,113.5
Robert Williams III,POR,C-F,35,16.4,0.731,0.797,0.308,0.769,6.3,6.5,1.1,0.7,1.4,0.7,145.7,107.3
Daniel Gafford,DAL,F-C,34,21.1,0.756,0.631,0,0.671,8.1,6.6,0.9,0.7,1.3,1.3,125.8,103
Jeremiah Robinson-Earl,IND,F,17,17.6,0.929,0.42,0.242,0.443,4.6,5.2,0.7,0.4,0.1,0.6,104.7,112.2
Kevon Looney,NOR,F,17,13.9,0.625,0.5,0.111,0.455,2.7,5.1,1.5,0.4,0.5,0.5,124.5,107.9
Johni Broome,PHI,F,9,4.8,0.5,0.235,0,0.23,1.1,1.4,0.4,0.2,0,0.2,73.4,104.8
Kyle Lowry,PHI,G,6,7.4,0,0,0.25,0.375,1,0.5,1.2,0.2,0,0.3,93.9,114.5
Kevin Love,UTA,F-C,27,17.5,0.818,0.479,0.346,0.543,6.8,5.8,1.8,0.3,0.3,0.8,118.6,113.9
KJ Simpson,CHA,G,14,15.9,0.625,0.38,0.308,0.437,6,2.1,2.5,1.1,0,1.7,89.6,110.3
Jevon Carter,CHI,G,23,11.1,1,0.36,0.41,0.577,5.4,1.1,0.8,0.6,0.1,0.5,111,113.9
Pacome Dadiet,NYK,F,18,3.2,1,0.5,0,0.372,0.4,0.6,0.4,0.1,0,0,0,0
Koby Brea,PHO,G,2,3.9,1,1,0,0.515,2,0.5,1,0,0,0,0,0
Danny Wolf,BRO,F,35,19.9,0.804,0.458,0.314,0.498,7.7,4.5,1.9,0.6,0.4,1.1,104.9,110.6
Malaki Branham,WAS,F,28,9.8,0.824,0.537,0.378,0.604,4.6,1.6,0.8,0.4,0.1,0.5,119,118.1
Charles Bassey,MEM,C-F,2,15.3,0.333,0.375,0,0.376,3.5,7.5,1,0.5,0.5,0.5,111.7,97.2
Jared McCain,PHI,G,37,16.8,0.88,0.393,0.378,0.506,6.6,2,1.7,0.6,0.1,0.8,104.1,112.1
Darius Garland,CLE,G,26,30.5,0.861,0.521,0.36,0.567,18,2.4,6.9,0.8,0.1,2.8,113.9,115.5
Nae'Qwan Tomlin,CLE,F,40,17.1,0.735,0.65,0.215,0.558,6.6,3.2,0.9,0.8,0.6,0.4,123.4,106.8
Cody Martin,IND,F,4,13.8,0.5,0.4,0,0.277,1.8,3.5,0.5,1,0.5,1,54.8,106.4
Kelly Olynyk,SAN,F-C,28,9.5,0.667,0.735,0.237,0.569,3.5,1.9,1.3,0.5,0,0.6,118.4,101.5
Jeremy Sochan,SAN,F,27,13.1,0.688,0.609,0.257,0.547,4.3,2.7,1,0.4,0.1,0.7,112.7,100.8
Lindy Waters III,SAN,F,28,6.8,1,0.571,0.319,0.496,1.9,0.8,0.4,0.1,0,0.1,104.9,107.7
Precious Achiuwa,SAC,F,44,20.7,0.529,0.544,0.314,0.537,7.3,5.6,1.2,0.8,0.5,0.7,116.2,114.5
Jalen Green,PHO,G,5,13.9,0.778,0.45,0.423,0.58,11.6,2.2,1.8,0.6,0,1.4,111.6,112
Isaiah Collier,UTA,G,43,24.4,0.679,0.561,0.292,0.572,9.6,2.6,7,0.9,0.3,2.3,114.7,118
Maxi Kleber,LAL,F,24,10.3,0.75,0.44,0.235,0.469,1.9,1.7,0.6,0.3,0.2,0.3,113.3,108.5
De'Aaron Fox,SAN,G,40,32.5,0.788,0.557,0.353,0.582,19.8,4.1,6.2,1.2,0.3,2.5,116.2,108.6
Monte Morris,IND,G,6,10.8,0.5,0.417,0.25,0.414,3,1.2,1.5,0.2,0.2,0.3,96.7,118.7
T.J. McConnell,IND,G,37,17.1,0.933,0.553,0.324,0.556,9.5,2.2,4.8,1.2,0.2,1.2,117,112.5
Pete Nance,MIL,F,18,9.6,0,0.692,0.483,0.709,4.3,2,0.4,0.3,0.2,0.4,128,113.2
Wendell Moore Jr.,DET,G,3,14.4,0,0.6,0,0.5,2,1.3,1,0.7,0.3,0.3,110.6,114.6
Daeqwon Plowden,SAC,G-F,3,15.2,0,0.667,0,0.182,1.3,2.7,0.3,0,0.3,0,65.5,124.9
